sample_id,doi,doilink,fraction_Ts_TEPZToverTEPZTex,is_temperature_range_valid,autoTc,autoTh,ztTc,ztTh,Tc_ofTEP,Th_ofTEP,Tc_ofZT,Th_ofZT,Tc_ofTEPZT,Th_ofTEPZT,deltaT_ofTEP,deltaT_ofZT,deltaT_ofTEPZT,avg_ZT_ofRawFig,avg_ZT_ofTEPEval,peak_ZT_ofRawFig,peak_ZT_ofTEPEval,d_Tmid,d_avgZT,d_peakZT,errdZT_Linf,errdZT_L2,errdZT_L1,is_avg_ZT_ofRawFig_positiveFinite,is_avg_ZT_ofTEPEval_positiveFinite,ispeak_ZT_ofRawFig_positiveFinite,is_peak_ZT_ofTEPEval_positiveFinite,errdZT_Linf_over_avg_ZT_ofRawFig,errdZT_Linf_over_avg_ZT_ofTEPEval,errdZT_Linf_over_peak_ZT_ofRawFig,errdZT_Linf_over_peak_ZT_ofTEPEval
1,10.1038/NCHEM.955,https://doi.org/10.1038/NCHEM.955,0.9290780141843972,True,299.575404133415,823.294406883835,298.917016488164,862.789367554654,300,822,300,862,300,822,522,562,522,1.025719597709811,0.96302918137253,1.7013629470182423,1.6686115918277915,20.0,0.06269041633728101,0.032751355190450804,0.0361592501043968,0.014346609506376451,0.012033087212936455,True,True,True,True,0.03525256823125135,0.03754740853528639,0.021253107790885194,0.021670261840137452
2,10.1038/nature11439,https://doi.org/10.1038/nature11439,0.993485342019544,True,302.117,915.035,301.290348568666,913.115298888232,304,914,302,912,304,912,610,610,608,1.2044201259666985,1.24235185507045,2.2119600148500558,2.359835128351121,-2.0,-0.03793172910375153,-0.1478751135010654,0.16978656237113388,0.05285962462302984,0.03227158902007516,True,True,True,True,0.1409695493379927,0.13666543956784755,0.07675842295125906,0.07194848501546301
4,10.1038/ncomms9144,https://doi.org/10.1038/ncomms9144,1.0,True,300.0,1200.0,300.0,1200.0,300,1200,300,1200,300,1200,900,900,900,0.8802136053215077,0.8652778469961161,1.46208,1.453887232311876,0.0,0.014935758325391624,0.008192767688123936,0.024951621460197915,0.016702031697693766,0.015256083251927401,True,True,True,True,0.028347234477344916,0.028836542558924327,0.01706583870937152,0.017162006038474856
5,10.1002/aenm.201200970,https://doi.org/10.1002/aenm.201200970,0.8652849740932642,True,329.4201,713.343,379.384,714.449,330,712,380,714,380,712,382,334,332,1.4623511997108474,1.315562191829845,2.295537857142857,2.305352080788792,26.0,0.14678900788100235,-0.009814223645935094,0.040956614481503895,0.015588006417789282,0.012259483411894985,True,True,True,True,0.028007372298530134,0.031132404637242136,0.017841837961444285,0.01776588262713013
6,10.1002/adma.201501030,https://doi.org/10.1002/adma.201501030,0.9943019943019943,True,298.997,997.478,299.005,1000.5,300,996,300,1000,300,996,696,700,696,0.7291775904637187,0.7238195402284107,2.0892548211787427,2.115063909389805,2.0,0.005358050235307998,-0.025809088211062203,0.04841051878112301,0.014474998137824996,0.011487778529663848,True,True,True,True,0.06639057400315397,0.06688202803401307,0.023171189215593215,0.022888442550697878
7,10.1126/science.1159725,https://doi.org/10.1126/science.1159725,0.9789029535864979,True,296.448,764.354,300.041,770.221,298,764,302,770,302,764,466,468,462,0.8201494683824467,0.7947549142744476,1.511151498313253,1.4614899013641736,5.0,0.02539455410799918,0.049661596949079456,0.0595703028255854,0.02600230092500502,0.02002116465111853,True,True,True,True,0.0726334712416188,0.07495430573080342,0.039420470344685994,0.040759982515090734
8,10.1126/science.1092963,https://doi.org/10.1126/science.1092963,0.904,True,321.749,772.005,300.0,798.958,322,772,300,798,322,772,450,498,450,1.2958783051144993,1.3179828267173004,2.1121049173333333,2.003631179223328,2.0,-0.022104521602801075,0.10847373811000516,0.1305298447077099,0.039315731100020394,0.03106771468302649,True,True,True,True,0.10072693106485546,0.09903759143267485,0.061800833678523945,0.06514664278597794
9,10.1038/am.2013.86,https://doi.org/10.1038/am.2013.86,0.945054945054945,True,297.749,479.442,297.581,468.84,298,478,298,468,298,468,180,170,170,1.1814203329204593,1.1626689482524108,1.2546314588235294,1.2683722510618884,-5.0,0.018751384668048487,-0.013740792238359001,0.030448080587252457,0.013660134997136761,0.011244020571769943,True,True,True,True,0.025772436565388294,0.026188091316120966,0.024268545454617953,0.02400563443560134
10,10.1039/c5ee02979a,https://doi.org/10.1039/c5ee02979a,0.9932885906040269,True,306.571,899.645,304.981,901.13,308,898,306,900,308,898,590,594,590,1.0489094504746876,1.025051616996496,1.7515932140950348,1.7295048643923698,0.0,0.023857833478191592,0.022088349702664933,0.07007374359345442,0.030491148278177935,0.025153636263524036,True,True,True,True,0.0668062849102392,0.06836118536037972,0.04000571766867583,0.04051665019055818
11,10.1039/c5ee02979a,https://doi.org/10.1039/c5ee02979a,0.9966329966329966,True,307.339,898.14,304.989,898.453,308,898,306,898,308,898,590,592,590,0.815558869879145,0.7884499141619162,1.3901540867962467,1.3328187555491682,-1.0,0.027108955717228822,0.05733533124707857,0.06433082889431652,0.035817197684265195,0.02997724124090704,True,True,True,True,0.0788794423924903,0.08159152247825031,0.04627604199083681,0.04826674941846084
