sample_id,DOI,DOIlink,TF_mat_complete,fraction_Ts_TEPZToverTEPZTex,is_Temperature_range_valid,autoTc,autoTh,ztTc,ztTh,Tc_ofTEP,Th_ofTEP,Tc_ofZT,Th_ofZT,Tc_ofTEPZT,Th_ofTEPZT,deltaT_ofTEP,deltaT_ofZT,deltaT_ofTEPZT,avg_ZT_ofRawFig,avg_ZT_ofTEPEval,peak_ZT_ofRawFig,peak_ZT_ofTEPEval,d_Tmid,d_avgZT,d_peakZT,errdZT_Linf,errdZT_L2,errdZT_L1,is_avg_ZT_ofRawFig_positiveFinite,is_avg_ZT_ofTEPEval_positiveFinite,ispeak_ZT_ofRawFig_positiveFinite,is_peak_ZT_ofTEPEval_positiveFinite,errdZT_Linf_over_avg_ZT_ofRawFig,errdZT_Linf_over_avg_ZT_ofTEPEval,errdZT_Linf_over_peak_ZT_ofRawFig,errdZT_Linf_over_peak_ZT_ofTEPEval,criT:  tempratura range > 0,criZT: representative ZT > 0 ,cri0:  d_avgZT  < 0.1,cri1:  d_peakZT < 0.1,cri2:  errdZT_Linf < 0.1,cri3:  errdZT_L2 < 0.1,cri4:  errdZT_Linf_over_avg_ZT_ofRawFig < 0.2,cri5:  errdZT_Linf_over_peak_ZT_ofRawFig < 0.2,cri_product_criteriastring,cri_product
1,10.1038/NCHEM.955,https://DOI.org/10.1038/NCHEM.955,True,0.9290780141843972,True,299.575404133415,823.294406883835,298.917016488164,862.789367554654,300,822,300,862,300,822,522,562,522,1.025719597709811,0.96302918137253,1.7013629470182423,1.6686115918277915,20.0,0.062690416337281,0.0327513551904508,0.0361592501043968,0.0143466095063764,0.0120330872129364,True,True,True,True,0.0352525682312513,0.0375474085352863,0.0212531077908851,0.0216702618401374,True,True,True,True,True,True,True,True,crieria_10_10_10_10_20_20,True
2,10.1038/nature11439,https://DOI.org/10.1038/nature11439,True,0.993485342019544,True,302.117,915.035,301.290348568666,913.115298888232,304,914,302,912,304,912,610,610,608,1.2044201259666985,1.24235185507045,2.211960014850056,2.359835128351121,-2.0,-0.0379317291037515,-0.1478751135010654,0.1697865623711338,0.0528596246230298,0.0322715890200751,True,True,True,True,0.1409695493379927,0.1366654395678475,0.076758422951259,0.071948485015463,True,True,True,False,False,True,True,True,crieria_10_10_10_10_20_20,False
4,10.1038/ncomms9144,https://DOI.org/10.1038/ncomms9144,True,1.0,True,300.0,1200.0,300.0,1200.0,300,1200,300,1200,300,1200,900,900,900,0.8802136053215077,0.8652778469961161,1.46208,1.453887232311876,0.0,0.0149357583253916,0.0081927676881239,0.0249516214601979,0.0167020316976937,0.0152560832519274,True,True,True,True,0.0283472344773449,0.0288365425589243,0.0170658387093715,0.0171620060384748,True,True,True,True,True,True,True,True,crieria_10_10_10_10_20_20,True
5,10.1002/aenm.201200970,https://DOI.org/10.1002/aenm.201200970,True,0.8652849740932642,True,329.4201,713.343,379.384,714.449,330,712,380,714,380,712,382,334,332,1.4623511997108474,1.315562191829845,2.295537857142857,2.305352080788792,26.0,0.1467890078810023,-0.009814223645935,0.0409566144815038,0.0155880064177892,0.0122594834118949,True,True,True,True,0.0280073722985301,0.0311324046372421,0.0178418379614442,0.0177658826271301,True,True,False,True,True,True,True,True,crieria_10_10_10_10_20_20,False
6,10.1002/adma.201501030,https://DOI.org/10.1002/adma.201501030,True,0.9943019943019944,True,298.997,997.478,299.005,1000.5,300,996,300,1000,300,996,696,700,696,0.7291775904637187,0.7238195402284107,2.0892548211787427,2.115063909389805,2.0,0.0053580502353079,-0.0258090882110622,0.048410518781123,0.0144749981378249,0.0114877785296638,True,True,True,True,0.0663905740031539,0.066882028034013,0.0231711892155932,0.0228884425506978,True,True,True,True,True,True,True,True,crieria_10_10_10_10_20_20,True
7,10.1126/science.1159725,https://DOI.org/10.1126/science.1159725,True,0.978902953586498,True,296.448,764.354,300.041,770.221,298,764,302,770,302,764,466,468,462,0.8201494683824467,0.7947549142744476,1.511151498313253,1.4614899013641736,5.0,0.0253945541079991,0.0496615969490794,0.0595703028255854,0.026002300925005,0.0200211646511185,True,True,True,True,0.0726334712416188,0.0749543057308034,0.0394204703446859,0.0407599825150907,True,True,True,True,True,True,True,True,crieria_10_10_10_10_20_20,True
8,10.1126/science.1092963,https://DOI.org/10.1126/science.1092963,True,0.904,True,321.749,772.005,300.0,798.958,322,772,300,798,322,772,450,498,450,1.2958783051144993,1.3179828267173004,2.1121049173333333,2.003631179223328,2.0,-0.022104521602801,0.1084737381100051,0.1305298447077099,0.0393157311000203,0.0310677146830264,True,True,True,True,0.1007269310648554,0.0990375914326748,0.0618008336785239,0.0651466427859779,True,True,True,False,False,True,True,True,crieria_10_10_10_10_20_20,False
9,10.1038/am.2013.86,https://DOI.org/10.1038/am.2013.86,True,0.945054945054945,True,297.749,479.442,297.581,468.84,298,478,298,468,298,468,180,170,170,1.1814203329204591,1.1626689482524108,1.2546314588235294,1.2683722510618884,-5.0,0.0187513846680484,-0.013740792238359,0.0304480805872524,0.0136601349971367,0.0112440205717699,True,True,True,True,0.0257724365653882,0.0261880913161209,0.0242685454546179,0.0240056344356013,True,True,True,True,True,True,True,True,crieria_10_10_10_10_20_20,True
10,10.1039/c5ee02979a,https://DOI.org/10.1039/c5ee02979a,True,0.9932885906040269,True,306.571,899.645,304.981,901.13,308,898,306,900,308,898,590,594,590,1.0489094504746876,1.025051616996496,1.7515932140950348,1.7295048643923698,0.0,0.0238578334781915,0.0220883497026649,0.0700737435934544,0.0304911482781779,0.025153636263524,True,True,True,True,0.0668062849102392,0.0683611853603797,0.0400057176686758,0.0405166501905581,True,True,True,True,True,True,True,True,crieria_10_10_10_10_20_20,True
11,10.1039/c5ee02979a,https://DOI.org/10.1039/c5ee02979a,True,0.9966329966329966,True,307.339,898.14,304.989,898.453,308,898,306,898,308,898,590,592,590,0.815558869879145,0.7884499141619162,1.3901540867962467,1.3328187555491682,-1.0,0.0271089557172288,0.0573353312470785,0.0643308288943165,0.0358171976842651,0.029977241240907,True,True,True,True,0.0788794423924903,0.0815915224782503,0.0462760419908368,0.0482667494184608,True,True,True,True,True,True,True,True,crieria_10_10_10_10_20_20,True
