read_mat_pass,autoTcTh_range_pass,rawdata T_min_of_tep  >0,rawdata T_min_of_alpha>0,rawdata T_min_of_rho  >0,rawdata T_min_of_kappa>0,rawdata rho_min       >0,rawdata kappa_min     >0,autoTc>1,autoTh>autoTc,alpha_length>1,rho_length>1,kappa_length>1,|alphaBar|<0.01,|rhoBar|<1,|kappaBar|<50,ZgenTimd<3.0,peakzT<10,not (zT_peak ratio tepnumeric/rawdata > 1.3),not (zT_peak ratio tepnumeric/rawdata < 0.7),not (T of zT_peak ratio tepnumeric/rawdata > 1.15),not (T of zT_peak ratio tepnumeric/rawdata < 0.85),alpha_min>-0.1,alpha_MAX<0.1,rho_min>1e-8,rho_MAX<1,kappa_min>0.01,kappa_MAX<100,alphaNode<3,rhoNode<3,kappaNode<3,Lorenz_min>Lo/2,all_filters,sample_id,SID,DOI
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,2,860,10.1039/c1ee01314a
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,5,860,10.1039/c1ee01314a
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,7,9860,10.1016/s0925-8388(00)01285-8
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,9,2488,10.1007/s11664-013-2645-5
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,11,859,10.1039/c0ee00456a
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,13,2488,10.1007/s11664-013-2645-5
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,14,5735,10.1021/am502140h
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,15,2834,10.1039/c5tc01781e
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,16,2525,10.1007/s11664-013-2819-1
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,17,2505,10.1007/s11664-013-2872-9
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,18,2413,10.1007/s11664-012-2352-7
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,20,4188,10.1088/0957-4484/24/21/215401
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,22,1711,10.1016/j.jallcom.2012.08.041
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,23,5867,10.1016/j.actamat.2016.03.059
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,24,11497,10.1039/c6ta04240f
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,25,5867,10.1016/j.actamat.2016.03.059
