SID,sample_id,mat_name,len_alpha,len_rho,len_kappa,len_PF,len_ZT,satisfy_pykeri_TEP,satisfy_pykeri_TEPZT,pykeri_TEP_readable,mat,pykeri_TEPZT_readable,matzt,TF_matzt_complete
6,113,starrydata2_sample_id_00113,15.0,15.0,15.0,0.0,0.0,True,False,True,"TEProp('no_db',0)",False,False,False
6006,147,starrydata2_sample_id_00147,16.0,25.0,16.0,0.0,37.0,True,True,True,"TEProp('no_db',0)",True,"TEProp('no_db',0)",True
6444,434,starrydata2_sample_id_00434,40.0,43.0,0.0,0.0,0.0,False,False,False,False,False,False,False
5867,248,starrydata2_sample_id_00248,9.0,0.0,9.0,0.0,0.0,False,False,False,False,False,False,False
3485,389,starrydata2_sample_id_00389,18.0,10.0,18.0,19.0,0.0,True,False,True,"TEProp('no_db',0)",False,False,False
3485,228,starrydata2_sample_id_00228,13.0,18.0,17.0,18.0,0.0,True,False,True,"TEProp('no_db',0)",False,False,False
4419,137,starrydata2_sample_id_00137,10.0,10.0,0.0,11.0,0.0,False,False,False,False,False,False,False
2098,404,starrydata2_sample_id_00404,10.0,11.0,7.0,0.0,0.0,True,False,True,"TEProp('no_db',0)",False,False,False
3490,235,starrydata2_sample_id_00235,9.0,9.0,9.0,0.0,0.0,True,False,True,"TEProp('no_db',0)",False,False,False
3485,231,starrydata2_sample_id_00231,9.0,13.0,18.0,19.0,8.0,True,True,True,"TEProp('no_db',0)",True,"TEProp('no_db',0)",True
860,108,starrydata2_sample_id_00108,12.0,17.0,19.0,0.0,0.0,True,False,True,"TEProp('no_db',0)",False,False,False
4775,435,starrydata2_sample_id_00435,22.0,23.0,23.0,0.0,0.0,True,False,True,"TEProp('no_db',0)",False,False,False
2098,181,starrydata2_sample_id_00181,10.0,11.0,7.0,0.0,0.0,True,False,True,"TEProp('no_db',0)",False,False,False
3508,210,starrydata2_sample_id_00210,11.0,12.0,12.0,0.0,0.0,True,False,True,"TEProp('no_db',0)",False,False,False
4793,178,starrydata2_sample_id_00178,17.0,16.0,16.0,0.0,0.0,True,False,True,"TEProp('no_db',0)",False,False,False
2118,436,starrydata2_sample_id_00436,11.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False
2488,84,starrydata2_sample_id_00084,12.0,16.0,14.0,0.0,58.0,True,True,True,"TEProp('no_db',0)",True,"TEProp('no_db',0)",True
6,64,starrydata2_sample_id_00064,15.0,15.0,15.0,0.0,0.0,True,False,True,"TEProp('no_db',0)",False,False,False
117,282,starrydata2_sample_id_00282,47.0,0.0,48.0,0.0,23.0,False,False,False,False,False,False,False
3497,252,starrydata2_sample_id_00252,26.0,52.0,26.0,26.0,26.0,True,True,True,"TEProp('no_db',0)",True,"TEProp('no_db',0)",True
11474,335,starrydata2_sample_id_00335,12.0,12.0,12.0,12.0,12.0,True,True,True,"TEProp('no_db',0)",True,"TEProp('no_db',0)",True
6486,437,starrydata2_sample_id_00437,10.0,10.0,0.0,0.0,0.0,False,False,False,False,False,False,False
4775,322,starrydata2_sample_id_00322,14.0,14.0,14.0,0.0,0.0,True,False,True,"TEProp('no_db',0)",False,False,False
7975,306,starrydata2_sample_id_00306,26.0,14.0,14.0,14.0,14.0,True,True,True,"TEProp('no_db',0)",True,"TEProp('no_db',0)",True
2118,438,starrydata2_sample_id_00438,8.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False
7979,439,starrydata2_sample_id_00439,7.0,8.0,7.0,7.0,15.0,True,True,True,"TEProp('no_db',0)",True,"TEProp('no_db',0)",True
2920,138,starrydata2_sample_id_00138,10.0,11.0,0.0,0.0,0.0,False,False,False,False,False,False,False
1680,440,starrydata2_sample_id_00440,5.0,0.0,5.0,0.0,0.0,False,False,False,False,False,False,False
3490,274,starrydata2_sample_id_00274,9.0,9.0,9.0,0.0,0.0,True,False,True,"TEProp('no_db',0)",False,False,False
3491,211,starrydata2_sample_id_00211,18.0,18.0,18.0,18.0,18.0,True,True,True,"TEProp('no_db',0)",True,"TEProp('no_db',0)",True
7979,196,starrydata2_sample_id_00196,14.0,14.0,14.0,14.0,14.0,True,True,True,"TEProp('no_db',0)",True,"TEProp('no_db',0)",True
4419,125,starrydata2_sample_id_00125,26.0,25.0,0.0,0.0,0.0,False,False,False,False,False,False,False
7979,215,starrydata2_sample_id_00215,13.0,14.0,14.0,14.0,14.0,True,True,True,"TEProp('no_db',0)",True,"TEProp('no_db',0)",True
5002,189,starrydata2_sample_id_00189,7.0,7.0,7.0,0.0,0.0,True,False,True,"TEProp('no_db',0)",False,False,False
344,43,starrydata2_sample_id_00043,19.0,19.0,0.0,0.0,0.0,False,False,False,False,False,False,False
11474,294,starrydata2_sample_id_00294,12.0,12.0,12.0,12.0,12.0,True,True,True,"TEProp('no_db',0)",True,"TEProp('no_db',0)",True
3491,244,starrydata2_sample_id_00244,18.0,17.0,17.0,17.0,17.0,True,True,True,"TEProp('no_db',0)",True,"TEProp('no_db',0)",True
3503,311,starrydata2_sample_id_00311,12.0,12.0,12.0,12.0,12.0,True,True,True,"TEProp('no_db',0)",True,"TEProp('no_db',0)",True
110,262,starrydata2_sample_id_00262,8.0,0.0,8.0,0.0,0.0,False,False,False,False,False,False,False
2525,79,starrydata2_sample_id_00079,10.0,9.0,7.0,0.0,0.0,True,False,True,"TEProp('no_db',0)",False,False,False
4188,63,starrydata2_sample_id_00063,14.0,14.0,14.0,0.0,0.0,True,False,True,"TEProp('no_db',0)",False,False,False
867,394,starrydata2_sample_id_00394,9.0,9.0,9.0,0.0,0.0,True,False,True,"TEProp('no_db',0)",False,False,False
2343,441,starrydata2_sample_id_00441,5.0,0.0,5.0,0.0,5.0,False,False,False,False,False,False,False
7453,49,starrydata2_sample_id_00049,9.0,10.0,10.0,0.0,0.0,True,False,True,"TEProp('no_db',0)",False,False,False
7979,384,starrydata2_sample_id_00384,14.0,14.0,14.0,14.0,14.0,True,True,True,"TEProp('no_db',0)",True,"TEProp('no_db',0)",True
2525,91,starrydata2_sample_id_00091,9.0,10.0,7.0,0.0,0.0,True,False,True,"TEProp('no_db',0)",False,False,False
11474,309,starrydata2_sample_id_00309,12.0,12.0,12.0,12.0,12.0,True,True,True,"TEProp('no_db',0)",True,"TEProp('no_db',0)",True
4805,21,starrydata2_sample_id_00021,18.0,19.0,0.0,0.0,0.0,False,False,False,False,False,False,False
2920,29,starrydata2_sample_id_00029,10.0,11.0,0.0,0.0,0.0,False,False,False,False,False,False,False
117,332,starrydata2_sample_id_00332,45.0,0.0,41.0,0.0,23.0,False,False,False,False,False,False,False
3482,289,starrydata2_sample_id_00289,10.0,10.0,10.0,0.0,0.0,True,False,True,"TEProp('no_db',0)",False,False,False
3503,286,starrydata2_sample_id_00286,21.0,17.0,23.0,18.0,18.0,True,True,True,"TEProp('no_db',0)",True,"TEProp('no_db',0)",True
5968,313,starrydata2_sample_id_00313,11.0,11.0,11.0,0.0,0.0,True,False,True,"TEProp('no_db',0)",False,False,False
4775,302,starrydata2_sample_id_00302,11.0,14.0,14.0,0.0,0.0,True,False,True,"TEProp('no_db',0)",False,False,False
4435,388,starrydata2_sample_id_00388,40.0,40.0,8.0,35.0,0.0,True,False,True,"TEProp('no_db',0)",False,False,False
4805,126,starrydata2_sample_id_00126,17.0,17.0,0.0,0.0,0.0,False,False,False,False,False,False,False
2505,112,starrydata2_sample_id_00112,9.0,10.0,10.0,0.0,10.0,True,True,True,"TEProp('no_db',0)",True,"TEProp('no_db',0)",True
2834,62,starrydata2_sample_id_00062,17.0,17.0,17.0,0.0,0.0,True,False,True,"TEProp('no_db',0)",False,False,False
588,442,starrydata2_sample_id_00442,8.0,8.0,0.0,0.0,0.0,False,False,False,False,False,False,False
859,57,starrydata2_sample_id_00057,18.0,19.0,19.0,0.0,19.0,True,True,True,"TEProp('no_db',0)",True,"TEProp('no_db',0)",True
2118,443,starrydata2_sample_id_00443,11.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False
3482,444,starrydata2_sample_id_00444,10.0,11.0,0.0,0.0,0.0,False,False,False,False,False,False,False
2467,351,starrydata2_sample_id_00351,8.0,8.0,14.0,0.0,22.0,True,True,True,"TEProp('no_db',0)",True,"TEProp('no_db',0)",True
4210,371,starrydata2_sample_id_00371,8.0,8.0,8.0,0.0,0.0,True,False,True,"TEProp('no_db',0)",False,False,False
627,365,starrydata2_sample_id_00365,10.0,11.0,11.0,11.0,11.0,True,True,True,"TEProp('no_db',0)",True,"TEProp('no_db',0)",True
4597,42,starrydata2_sample_id_00042,14.0,14.0,0.0,0.0,0.0,False,False,False,False,False,False,False
7975,407,starrydata2_sample_id_00407,14.0,14.0,14.0,14.0,14.0,True,True,True,"TEProp('no_db',0)",True,"TEProp('no_db',0)",True
2343,415,starrydata2_sample_id_00415,5.0,0.0,5.0,0.0,5.0,False,False,False,False,False,False,False
4210,339,starrydata2_sample_id_00339,8.0,8.0,8.0,0.0,0.0,True,False,True,"TEProp('no_db',0)",False,False,False
2834,107,starrydata2_sample_id_00107,14.0,17.0,20.0,0.0,0.0,True,False,True,"TEProp('no_db',0)",False,False,False
3503,381,starrydata2_sample_id_00381,20.0,20.0,23.0,21.0,20.0,True,True,True,"TEProp('no_db',0)",True,"TEProp('no_db',0)",True
7960,315,starrydata2_sample_id_00315,9.0,7.0,12.0,0.0,0.0,True,False,True,"TEProp('no_db',0)",False,False,False
110,200,starrydata2_sample_id_00200,10.0,10.0,10.0,0.0,0.0,True,False,True,"TEProp('no_db',0)",False,False,False
2505,17,starrydata2_sample_id_00017,10.0,10.0,10.0,0.0,10.0,True,True,True,"TEProp('no_db',0)",True,"TEProp('no_db',0)",True
7974,300,starrydata2_sample_id_00300,26.0,26.0,26.0,0.0,0.0,True,False,True,"TEProp('no_db',0)",False,False,False
3508,340,starrydata2_sample_id_00340,12.0,12.0,12.0,0.0,0.0,True,False,True,"TEProp('no_db',0)",False,False,False
4619,250,starrydata2_sample_id_00250,10.0,10.0,10.0,10.0,10.0,True,True,True,"TEProp('no_db',0)",True,"TEProp('no_db',0)",True
110,318,starrydata2_sample_id_00318,9.0,11.0,10.0,0.0,0.0,True,False,True,"TEProp('no_db',0)",False,False,False
3491,413,starrydata2_sample_id_00413,18.0,18.0,18.0,18.0,18.0,True,True,True,"TEProp('no_db',0)",True,"TEProp('no_db',0)",True
