sample_id,SID,noerr_read_mat,autoTc,autoTh,noerr_autoTcTh_range,len_alpha,len_rho,len_kappa,noerr_negative_rho_or_kappa_over_autoTcTh,rawT_min_of_tep,rawT_min_of_alpha,rawT_min_of_rho,rawT_min_of_kappa,rawT_min_of_PF,rawT_min_of_zT,rawT_max_of_tep,rawT_max_of_alpha,rawT_max_of_rho,rawT_max_of_kappa,rawT_max_of_PF,rawT_max_of_zT,rawrho_min,rawrho_max,rawalpha_min,rawalpha_max,rawkappa_min,rawkappa_max,rawPF_min,rawPF_max,rawzT_min,rawzT_max,alpha_min,alpha_MAX,rho_min,rho_MAX,kappa_min,kappa_MAX,PF_min,PF_MAX,z_min,z_MAX,zT_min,zT_MAX,T_at_zT_MAX,T_at_kappa_min,Lorenz_min,Lorenz_max,LorenzBar,alphaBar_T,rhoBar_T,kappaBar_T,Zgen0,ZgenTmid0,alphaNode,rhoNode,kappaNode,zT_peak_rawdata,T_of_zT_peak_rawdata,zT_MAX_tep / zT_peak_rawdata,T_at_zT_MAX_tep / T_of_zT_peak_rawdata
1308,3,True,300.6252,576.1167,True,12.0,12.0,12.0,True,294.9948,300.6252,299.8372,294.9948,301.6524,,582.1217,580.5757,576.1167,582.1217,574.8007,,5.481747e-06,1.147013e-05,-0.0001415913,-0.0001130572,1.297476,1.63122,0.001393528,0.002527408,,,-0.0001415892782760826,-0.0001130572,5.498181148270066e-06,1.147013e-05,1.2974768961665313,1.619388018510937,0.0013633530276064949,0.0024471552774905335,0.0008418939821847811,0.0018834596417253752,0.4850291827661549,0.7612010505055261,428.37938734367185,576.1167,2.374115062606543e-08,2.374115062606543e-08,2.7339301264781696e-08,-0.00013299609353845302,8.760551525407227e-06,1.3934136767279235,0.0014489928826165927,0.6351963864958743,1.5796263001647932,1.0,1.0019351910881713,,,,
1310,3,True,298.3975,577.9025,True,12.0,12.0,12.0,True,293.2478,298.3975,296.3503,293.2478,297.777,299.7323,580.7841,579.8332,577.9025,580.7841,576.7184,569.247,7.52897e-06,1.327595e-05,-0.0001646317,-0.0001245595,1.064777,1.60098,0.001174132,0.00279895,0.3938241,0.6087237,-0.00016463150161447792,-0.00012529234904074145,7.587560947710078e-06,1.327595e-05,1.0655523618699765,1.592732064051641,0.001182451932113859,0.0027498656230176646,0.0007424048016625604,0.002571107138409013,0.42903759089279786,0.8964056272959529,400.1882153576788,577.9025,2.709454163880351e-08,2.709454163880351e-08,3.1475490028984216e-08,-0.0001518202104003064,1.1320172132701178e-05,1.2408687529039195,0.001640893137583927,0.7189573282323976,1.5219431602140305,1.0,1.0,0.6087237,421.5677,1.4725985324638302,0.9492857620678217
39,6,True,300.0,650.0,True,15.0,15.0,15.0,True,299.6331,299.6331,300.0,300.0,,,650.349,650.0,650.349,650.0,,,4.672435e-06,2.514215e-05,-0.0002013841,-7.191465e-05,1.232165,2.76408,,,,,-0.0002013841,-7.202490868857123e-05,4.672435e-06,2.510892563672402e-05,1.232165,2.76408,0.0011102535340988208,0.0017536894061337609,0.0004016719972283077,0.0013137935388991453,0.12050159916849232,0.8520532056357389,650.0,300.0,4.284187493780745e-08,4.284187493780745e-08,4.534663077719431e-08,-0.00014079307050371935,1.1750014013867414e-05,1.8460650487760697,0.0009138547557529272,0.4340810089826404,1.0,1.0,1.0,,,,
47,6,True,300.0,650.0,True,15.0,15.0,15.0,True,299.6331,299.6331,299.651,300.0,,,650.349,650.0,650.349,650.0,,,6.563659e-06,3.209518e-05,-0.0002697232,-0.0001347751,1.149562,2.384856,,,,,-0.0002697232,-0.00013491504426878736,6.576021554100148e-06,3.20472750976529e-05,1.149562,2.384856,0.002270102665407835,0.002859921741113284,0.001160634220689818,0.0019941906767641003,0.3481902662069454,1.2835903870474952,650.0,300.0,5.227621486475021e-08,5.227621486475021e-08,5.449413601673501e-08,-0.00020550222795062963,1.5383164855034187e-05,1.6889238076995048,0.0016254638575660054,0.7720953323438525,1.0,1.0,1.0,,,,
64,6,True,300.0,650.0,True,15.0,15.0,15.0,True,299.9831,299.9831,300.0,300.0,,,650.1689,650.1689,650.0,650.0,,,4.203593e-06,2.07485e-05,-0.0001821912,-6.211233e-05,1.359241,2.963892,,,,,-0.00018215499214562373,-6.211842375246876e-05,4.203593e-06,2.07485e-05,1.359241,2.963892,0.0009179524681602798,0.001659386846616854,0.0003097118478541998,0.0011765191076059608,0.09291355435625993,0.7647374199438746,650.0,300.0,4.018252412367916e-08,4.018252412367916e-08,4.1554200789379935e-08,-0.00012447824658923278,9.793472309937736e-06,2.0239885307215584,0.0007817037177601469,0.3713092659360698,1.0,1.0,1.0,,,,
69,6,True,300.0,650.0,True,15.0,15.0,15.0,True,300.0,300.0,300.0,300.0,,,650.349,650.0,650.349,650.0,,,3.337454e-06,1.891224e-05,-0.000172549,-5.490196e-05,1.408636,3.477472,,,,,-0.000172549,-5.490196e-05,3.337454e-06,1.8884805242839643e-05,1.408636,3.477472,0.0009031510881772753,0.0016716894223588498,0.00025971484117694556,0.0011192152002399982,0.07791445235308367,0.7274898801559988,650.0,300.0,3.75406565244942e-08,3.75406565244942e-08,3.8836609423756624e-08,-0.00011584368082157375,8.094554556026958e-06,2.2894431835321316,0.0007241388900639226,0.3439659727803632,1.0,1.0,1.0000000000000018,,,,
98,6,True,300.0,650.0,True,15.0,15.0,15.0,True,299.633,299.633,300.0,300.0,,,650.349,650.0,650.349,650.0,,,5.562423e-06,2.742274e-05,-0.000251557,-0.0001094,1.228411,2.51627,,,,,-0.000251557,-0.00010952541643294491,5.562423e-06,2.7387197693425192e-05,1.228411,2.51627,0.0021565811957864403,0.002391282049412826,0.0008570547658981112,0.001880968489221473,0.2571164297694334,1.2226295179939575,650.0,300.0,4.6340357200157937e-08,4.6340357200157937e-08,4.920325584943971e-08,-0.00017903094491605566,1.346972895658299e-05,1.7466823214632294,0.0013623334690842813,0.6471083978150336,0.9999999999999998,0.9999999999999999,1.0,,,,
99,6,True,300.311,650.0,True,15.0,15.0,15.0,True,300.0,300.311,300.0,300.0,,,650.123,650.123,650.0,650.0,,,5.820359e-06,2.883234e-05,-0.000213968,-8.29225e-05,1.175643,2.497552,,,,,-0.00021394716487469523,-8.29225e-05,5.8297539247474555e-06,2.883234e-05,1.175643,2.4960019043052655,0.0011794907804016572,0.0017702368330995376,0.0004725520354640737,0.0013503853526255498,0.14191257432225143,0.8777504792066074,650.0,300.311,4.770473693180236e-08,4.770473693180236e-08,5.0364473540369184e-08,-0.00015545740585566024,1.4018538960050465e-05,1.7205335093460525,0.0010019751349379007,0.4760939962289856,1.0000000000000002,1.0,1.0,,,,
103,6,True,300.1902,650.0,True,15.0,15.0,15.0,True,299.6625,300.1902,299.6625,300.0,,,650.0257,650.0257,650.0,650.0,,,9e-06,4.419162e-05,-0.0002823036,-0.0001672869,1.116891,2.104651,,,,,-0.00028230126872509723,-0.0001672869,9.03415971112152e-06,4.419162e-05,1.116891,2.1036751167579566,0.001803373723882482,0.0030976767963443383,0.001472507219231775,0.0017676251679082657,0.44203223664263036,1.0659293197490447,624.9760873436719,300.1902,6.330965163121112e-08,6.330965163121112e-08,7.003297594075836e-08,-0.00023261970578479808,2.1941599454240867e-05,1.5288495061418164,0.0016130951453965426,0.7663735994116849,1.0,1.0,1.0,,,,
113,6,True,300.0,650.0,True,15.0,15.0,15.0,True,299.8597,299.8597,300.0,300.0,,,650.0201,650.0201,650.0,650.0,,,7.868263e-06,3.540719e-05,-0.0002862406,-0.0001484452,1.116891,2.152387,,,,,-0.00028623493488770914,-0.00014851157330078455,7.868263e-06,3.540719e-05,1.116891,2.152387,0.002313949171063027,0.0028391155389696525,0.0013023309735654537,0.002100231736577476,0.3906992920696361,1.3466550999076612,650.0,300.0,5.645182331260333e-08,5.645182331260333e-08,5.834773667053178e-08,-0.00022168013828280416,1.7922739055457175e-05,1.5492815818989463,0.0017697781448516182,0.8406446188045187,1.0,1.0,1.0,,,,
