SID,sample_id,is_extendable_tep,fraction_Ts_TEPZToverTEPZTex,is_Temperature_range_valid,autoTc,autoTh,ztTc,ztTh,Tc_ofTEP,Th_ofTEP,Tc_ofZT,Th_ofZT,Tc_ofTEPZT,Th_ofTEPZT,deltaT_ofTEP,deltaT_ofZT,deltaT_ofTEPZT,avg_ZT_ofRawFig,avg_ZT_ofTEPEval,peak_ZT_ofRawFig,peak_ZT_ofTEPEval,d_Tmid,d_avgZT,d_peakZT,errdZT_Linf,errdZT_L2,errdZT_L1,is_avg_ZT_ofRawFig_positiveFinite,is_avg_ZT_ofTEPEval_positiveFinite,ispeak_ZT_ofRawFig_positiveFinite,is_peak_ZT_ofTEPEval_positiveFinite,errdZT_Linf_over_avg_ZT_ofRawFig,errdZT_Linf_over_avg_ZT_ofTEPEval,errdZT_Linf_over_peak_ZT_ofRawFig,errdZT_Linf_over_peak_ZT_ofTEPEval
49,3225,True,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,3226,True,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,3227,True,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,3228,True,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,3229,True,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,5857,True,0.9830508474576272,True,305.3118,769.6075,296.378,769.945,306.0,768.0,298.0,768.0,306.0,768.0,462.0,470.0,462.0,0.08899409258746449,-0.0095152157329161,0.2805672134569366,0.6767050836774086,-4.0,0.09850930832038059,-0.396137870220472,1.7640730995104026,0.18847187472198423,0.11390056440929217,,False,,,,,,
73,5859,True,0.9875,True,297.4978,770.3776,296.4802,776.3114,298.0,770.0,298.0,776.0,298.0,770.0,472.0,478.0,472.0,0.28910714733802206,-0.00842221609735245,0.5862904524250048,0.17822491963280984,3.0,0.2975293634353745,0.40806553279219493,0.8695266525895424,0.3492801591003111,0.29472898196227926,,False,,,,,,
362,13722,True,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,13723,True,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,13724,True,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
495,23566,True,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
495,23567,True,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
495,23568,True,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
