SID,sample_id,is_extendable_tep,fraction_Ts_TEPZToverTEPZTex,is_Temperature_range_valid,autoTc,autoTh,ztTc,ztTh,Tc_ofTEP,Th_ofTEP,Tc_ofZT,Th_ofZT,Tc_ofTEPZT,Th_ofTEPZT,deltaT_ofTEP,deltaT_ofZT,deltaT_ofTEPZT,avg_ZT_ofRawFig,avg_ZT_ofTEPEval,peak_ZT_ofRawFig,peak_ZT_ofTEPEval,d_Tmid,d_avgZT,d_peakZT,errdZT_Linf,errdZT_L2,errdZT_L1,is_avg_ZT_ofRawFig_positiveFinite,is_avg_ZT_ofTEPEval_positiveFinite,ispeak_ZT_ofRawFig_positiveFinite,is_peak_ZT_ofTEPEval_positiveFinite,errdZT_Linf_over_avg_ZT_ofRawFig,errdZT_Linf_over_avg_ZT_ofTEPEval,errdZT_Linf_over_peak_ZT_ofRawFig,errdZT_Linf_over_peak_ZT_ofTEPEval
3,1310,True,0.9712230215827338,True,298.3975,577.9025,299.7323,569.247,300.0,576.0,300.0,568.0,300.0,568.0,276.0,268.0,268.0,0.5313064615069121,0.7505120326105106,0.608459692789342,0.8963974378277423,-4.0,-0.2192055711035985,-0.2879377450384003,0.3758972272259924,0.26126168761779217,0.22833656876806388,True,True,True,True,0.7074960582257142,0.5008543646109267,0.6177849275484115,0.4193421482070627
9,1381,True,0.9802955665024631,True,653.15,1058.15,653.9498,1051.314,654.0,1058.0,654.0,1050.0,654.0,1050.0,404.0,396.0,396.0,0.001220262796026832,0.0011741843431381858,0.002307247662100969,0.002262747510484441,-4.0,4.607845288864625e-05,4.450015161652776e-05,0.00015333002209314884,8.648588217280396e-05,7.328183851833318e-05,True,True,True,True,0.12565327943488108,0.13058428430696928,0.06645581426379137,0.06776276247468803
9,1382,True,0.961038961038961,True,754.15,1058.15,750.2804,1050.883,756.0,1058.0,752.0,1050.0,756.0,1050.0,302.0,298.0,294.0,0.003409145389639472,0.003258040157500078,0.006682945611927467,0.007642188874349669,-6.0,0.00015110523213939398,-0.0009592432624222023,0.0006161163716945231,0.00037502702876758185,0.00032449476077268615,True,True,True,True,0.18072458087793064,0.1891064388129809,0.09219233665390035,0.08062040625068338
9,1383,True,0.966183574879227,True,661.15,1060.15,650.8586,1064.757,662.0,1060.0,652.0,1064.0,662.0,1060.0,398.0,412.0,398.0,0.00401984541681683,0.004205640462660508,0.009537597036102859,0.010282803989585863,-3.0,-0.0001857950458436777,-0.0007452069534830044,0.0008894181233489954,0.00036101667007121165,0.00030110709535166775,True,True,True,True,0.22125679749478858,0.21148220615757185,0.09325390032544498,0.08649567999640694
9,1384,True,0.9642857142857143,True,561.15,1064.15,573.6143,1059.096,562.0,1064.0,574.0,1058.0,574.0,1058.0,502.0,484.0,484.0,0.0022856505118135063,0.001830216817390701,0.010846841715588213,0.010903571068485893,3.0,0.00045543369442280516,-5.672935289767998e-05,0.002021071992996496,0.0008221062119498956,0.0005190339344823474,True,True,True,True,0.8842436682907023,1.1042800906386014,0.1863281539447536,0.18535872149610788
9,1385,True,0.9653465346534653,True,651.15,1054.15,652.9972,1042.058,652.0,1054.0,654.0,1042.0,654.0,1042.0,402.0,388.0,388.0,0.00963305432316825,0.008907748254509185,0.018549730709826556,0.017735483527826043,-5.0,0.0007253060686590648,0.0008142471820005125,0.003096734656878439,0.0016690102622292386,0.0013187462266173325,True,True,True,True,0.3214696557280436,0.34764505780805416,0.16694229718590856,0.17460672284574733
13,1387,True,0.96,True,323.15,466.15,321.5711,471.5711,324.0,466.0,322.0,470.0,324.0,466.0,142.0,148.0,142.0,0.28422610582128516,0.2811695128411097,0.3522065031205866,0.3384472702552941,1.0,0.0030565929801754654,0.013759232865292514,0.014360347520745304,0.008076963389028571,0.006772485875522377,True,True,True,True,0.050524379100401,0.051073629482939024,0.040772522351265855,0.042430088178619825
13,1388,True,0.972972972972973,True,323.15,467.15,323.15,471.5711,324.0,466.0,324.0,470.0,324.0,466.0,142.0,146.0,142.0,0.24623086769688812,0.243375528349408,0.29023976592668094,0.2846621634557075,2.0,0.0028553393474801125,0.005577602470973442,0.00700340966823812,0.0030712712403101377,0.002576368334891297,True,True,True,True,0.02844245213341556,0.028776145719069602,0.024129738548670444,0.024602530885098915
13,1389,True,0.9466666666666667,True,323.15,465.15,323.15,473.15,324.0,464.0,324.0,472.0,324.0,464.0,140.0,148.0,140.0,0.303721821778382,0.2968736396806424,0.3690456132284212,0.35444491064509515,4.0,0.006848182097739575,0.014600702583326075,0.012839549954357155,0.006203468944044825,0.00496420220545303,True,True,True,True,0.04227404497700479,0.0432492085459966,0.03479122768060137,0.0362243879619797
15,537,True,0.9746376811594203,True,311.0345,854.4828,316.915,862.518,312.0,854.0,318.0,862.0,318.0,854.0,542.0,544.0,536.0,0.04997697575977619,0.05188824344396231,0.10491096947047797,0.10731272073284076,7.0,-0.0019112676841861187,-0.002401751262362792,0.00471228004613837,0.0032860902102244812,0.0031701323572240537,True,True,True,True,0.09428901958351456,0.0908159485342279,0.04491694309873297,0.0439116631649828
15,538,True,0.9666666666666667,True,327.035,848.08,325.7687,865.258,328.0,848.0,326.0,864.0,328.0,848.0,520.0,538.0,520.0,0.06461973910883226,0.0665105202623591,0.13764497988739238,0.13964999098833655,7.0,-0.0018907811535268382,-0.0020050111009441707,0.006950578729276666,0.004377464743370647,0.003874253052088872,True,True,True,True,0.10756123167830396,0.10450344850497689,0.05049642010164807,0.04977142268385232
15,539,True,0.9553903345724907,True,328.661,844.79,330.0802,867.9975,330.0,844.0,332.0,866.0,332.0,844.0,514.0,534.0,512.0,0.0880563687912881,0.08405377373879666,0.1769414006267252,0.173748915454948,12.0,0.004002595052491439,0.0031924851717771985,0.0017281185287434941,0.001137057638119873,0.001023362300196004,True,True,True,True,0.01962513958348083,0.020559678071251752,0.009766614950613652,0.009946068004042215
15,540,True,0.978494623655914,True,319.6021,864.081,309.4045,866.5364,320.0,864.0,310.0,866.0,320.0,864.0,544.0,556.0,544.0,0.10196354389736564,0.10183806094809235,0.21778383361135584,0.21541724755084962,-4.0,0.00012548294927329506,0.002366586060506215,0.0027082018804864966,0.0015052140695514663,0.0011998582689130039,True,True,True,True,0.02656049188730156,0.02659321922740544,0.012435275087127879,0.012571889722280575
15,541,True,0.9527272727272728,True,337.366,861.631,333.2298,883.1563,338.0,860.0,334.0,882.0,338.0,860.0,522.0,548.0,522.0,0.1525734109689488,0.14733887922077704,0.33567274908424205,0.33180738208483734,9.0,0.005234531748171761,0.003865366999404707,0.006297860103675501,0.0021707315989282767,0.0017429626045963034,True,True,True,True,0.04127757296425141,0.04274404785065995,0.018761904625433146,0.01898047012728984
16,25123,True,0.9947089947089947,True,296.071,673.149,295.62,672.95,298.0,672.0,296.0,672.0,298.0,672.0,374.0,376.0,374.0,0.3465907321823416,0.3196062360242076,0.5093348647493773,0.46187436938204607,-1.0,0.026984496158133975,0.04746049536733121,0.0492864359344537,0.03105379737067195,0.028105433245705174,True,True,True,True,0.14220355987050476,0.15420986945549037,0.0967662717507185,0.10670961456552638
16,25124,True,0.9947089947089947,True,296.857,672.6,295.674,673.654,298.0,672.0,296.0,672.0,298.0,672.0,374.0,376.0,374.0,0.5336708364069837,0.5359472041941497,0.7575300509250996,0.7603012812776802,-1.0,-0.0022763677871660004,-0.0027712303525805337,0.01118034224711717,0.005891601893880318,0.004902063698797567,True,True,True,True,0.020949884243985386,0.02086090226728197,0.014758942214191606,0.014705147186295274
16,25125,True,0.9947089947089947,True,296.9856,672.411,296.209,674.385,298.0,672.0,298.0,674.0,298.0,672.0,374.0,376.0,374.0,0.6550053598220957,0.670621785107307,1.0228549396039606,1.0223853014405002,1.0,-0.015616425285211233,0.0004696381634603508,0.033068075655320106,0.01849914858451157,0.017573071986178513,True,True,True,True,0.05048519857043863,0.049309575664961205,0.03232919388170892,0.03234404447005303
16,25126,True,0.9946808510638298,True,296.857,671.951,296.198,673.833,298.0,670.0,298.0,672.0,298.0,670.0,372.0,374.0,372.0,0.6414863691837126,0.6614221567827023,0.9586924524937087,0.9821445319233304,1.0,-0.01993578759898973,-0.023452079429621686,0.046993931852943316,0.024546977185399322,0.0216320768145513,True,True,True,True,0.0732578806198841,0.07104983008360616,0.04901877732603899,0.04784828538516144
