SID,sample_id,is_extendable_tep,fraction_Ts_TEPZToverTEPZTex,is_Temperature_range_valid,autoTc,autoTh,ztTc,ztTh,Tc_ofTEP,Th_ofTEP,Tc_ofZT,Th_ofZT,Tc_ofTEPZT,Th_ofTEPZT,deltaT_ofTEP,deltaT_ofZT,deltaT_ofTEPZT,avg_ZT_ofRawFig,avg_ZT_ofTEPEval,peak_ZT_ofRawFig,peak_ZT_ofTEPEval,d_Tmid,d_avgZT,d_peakZT,errdZT_Linf,errdZT_L2,errdZT_L1,is_avg_ZT_ofRawFig_positiveFinite,is_avg_ZT_ofTEPEval_positiveFinite,ispeak_ZT_ofRawFig_positiveFinite,is_peak_ZT_ofTEPEval_positiveFinite,errdZT_Linf_over_avg_ZT_ofRawFig,errdZT_Linf_over_avg_ZT_ofTEPEval,errdZT_Linf_over_peak_ZT_ofRawFig,errdZT_Linf_over_peak_ZT_ofTEPEval,criT:  tempratura range > 0,criZT: representative ZT > 0 ,cri0:  d_avgZT  < 0.1,cri1:  d_peakZT < 0.1,cri2:  errdZT_Linf < 0.1,cri3:  errdZT_L2 < 0.1,cri4:  errdZT_Linf_over_avg_ZT_ofRawFig < 0.2,cri5:  errdZT_Linf_over_peak_ZT_ofRawFig < 0.2,cri_product_criteriastring,cri_product
3,1310,True,0.9712230215827338,True,298.3975,577.9025,299.7323,569.247,300.0,576.0,300.0,568.0,300.0,568.0,276.0,268.0,268.0,0.5313064615069121,0.7505120326105106,0.608459692789342,0.8963974378277423,-4.0,-0.2192055711035985,-0.2879377450384003,0.3758972272259924,0.2612616876177921,0.2283365687680638,True,True,True,True,0.7074960582257142,0.5008543646109267,0.6177849275484115,0.4193421482070627,True,True,False,False,False,False,False,False,crieria_10_10_10_10_20_20,False
9,1381,True,0.9802955665024632,True,653.15,1058.15,653.9498,1051.314,654.0,1058.0,654.0,1050.0,654.0,1050.0,404.0,396.0,396.0,0.0012202627960268,0.0011741843431381,0.0023072476621009,0.0022627475104844,-4.0,4.607845288864625e-05,4.450015161652776e-05,0.0001533300220931,8.648588217280396e-05,7.328183851833318e-05,True,True,True,True,0.125653279434881,0.1305842843069692,0.0664558142637913,0.067762762474688,True,True,True,True,True,True,True,True,crieria_10_10_10_10_20_20,True
9,1382,True,0.961038961038961,True,754.15,1058.15,750.2804,1050.883,756.0,1058.0,752.0,1050.0,756.0,1050.0,302.0,298.0,294.0,0.0034091453896394,0.0032580401575,0.0066829456119274,0.0076421888743496,-6.0,0.0001511052321393,-0.0009592432624222,0.0006161163716945,0.0003750270287675,0.0003244947607726,True,True,True,True,0.1807245808779306,0.1891064388129809,0.0921923366539003,0.0806204062506833,True,True,True,True,True,True,True,True,crieria_10_10_10_10_20_20,True
9,1383,True,0.966183574879227,True,661.15,1060.15,650.8586,1064.757,662.0,1060.0,652.0,1064.0,662.0,1060.0,398.0,412.0,398.0,0.0040198454168168,0.0042056404626605,0.0095375970361028,0.0102828039895858,-3.0,-0.0001857950458436,-0.000745206953483,0.0008894181233489,0.0003610166700712,0.0003011070953516,True,True,True,True,0.2212567974947885,0.2114822061575718,0.0932539003254449,0.0864956799964069,True,True,True,True,True,True,False,True,crieria_10_10_10_10_20_20,False
9,1384,True,0.9642857142857144,True,561.15,1064.15,573.6143,1059.096,562.0,1064.0,574.0,1058.0,574.0,1058.0,502.0,484.0,484.0,0.0022856505118135,0.0018302168173907,0.0108468417155882,0.0109035710684858,3.0,0.0004554336944228,-5.672935289767998e-05,0.0020210719929964,0.0008221062119498,0.0005190339344823,True,True,True,True,0.8842436682907023,1.1042800906386014,0.1863281539447536,0.1853587214961078,True,True,True,True,True,True,False,True,crieria_10_10_10_10_20_20,False
9,1385,True,0.9653465346534652,True,651.15,1054.15,652.9972,1042.058,652.0,1054.0,654.0,1042.0,654.0,1042.0,402.0,388.0,388.0,0.0096330543231682,0.0089077482545091,0.0185497307098265,0.017735483527826,-5.0,0.000725306068659,0.0008142471820005,0.0030967346568784,0.0016690102622292,0.0013187462266173,True,True,True,True,0.3214696557280436,0.3476450578080541,0.1669422971859085,0.1746067228457473,True,True,True,True,True,True,False,True,crieria_10_10_10_10_20_20,False
13,1387,True,0.96,True,323.15,466.15,321.5711,471.5711,324.0,466.0,322.0,470.0,324.0,466.0,142.0,148.0,142.0,0.2842261058212851,0.2811695128411097,0.3522065031205866,0.3384472702552941,1.0,0.0030565929801754,0.0137592328652925,0.0143603475207453,0.0080769633890285,0.0067724858755223,True,True,True,True,0.050524379100401,0.051073629482939,0.0407725223512658,0.0424300881786198,True,True,True,True,True,True,True,True,crieria_10_10_10_10_20_20,True
13,1388,True,0.972972972972973,True,323.15,467.15,323.15,471.5711,324.0,466.0,324.0,470.0,324.0,466.0,142.0,146.0,142.0,0.2462308676968881,0.243375528349408,0.2902397659266809,0.2846621634557075,2.0,0.0028553393474801,0.0055776024709734,0.0070034096682381,0.0030712712403101,0.0025763683348912,True,True,True,True,0.0284424521334155,0.0287761457190696,0.0241297385486704,0.0246025308850989,True,True,True,True,True,True,True,True,crieria_10_10_10_10_20_20,True
13,1389,True,0.9466666666666668,True,323.15,465.15,323.15,473.15,324.0,464.0,324.0,472.0,324.0,464.0,140.0,148.0,140.0,0.303721821778382,0.2968736396806424,0.3690456132284212,0.3544449106450951,4.0,0.0068481820977395,0.014600702583326,0.0128395499543571,0.0062034689440448,0.004964202205453,True,True,True,True,0.0422740449770047,0.0432492085459966,0.0347912276806013,0.0362243879619797,True,True,True,True,True,True,True,True,crieria_10_10_10_10_20_20,True
15,537,True,0.9746376811594204,True,311.0345,854.4828,316.915,862.518,312.0,854.0,318.0,862.0,318.0,854.0,542.0,544.0,536.0,0.0499769757597761,0.0518882434439623,0.1049109694704779,0.1073127207328407,7.0,-0.0019112676841861,-0.0024017512623627,0.0047122800461383,0.0032860902102244,0.003170132357224,True,True,True,True,0.0942890195835145,0.0908159485342279,0.0449169430987329,0.0439116631649828,True,True,True,True,True,True,True,True,crieria_10_10_10_10_20_20,True
15,538,True,0.9666666666666668,True,327.035,848.08,325.7687,865.258,328.0,848.0,326.0,864.0,328.0,848.0,520.0,538.0,520.0,0.0646197391088322,0.0665105202623591,0.1376449798873923,0.1396499909883365,7.0,-0.0018907811535268,-0.0020050111009441,0.0069505787292766,0.0043774647433706,0.0038742530520888,True,True,True,True,0.1075612316783039,0.1045034485049768,0.050496420101648,0.0497714226838523,True,True,True,True,True,True,True,True,crieria_10_10_10_10_20_20,True
15,539,True,0.9553903345724908,True,328.661,844.79,330.0802,867.9975,330.0,844.0,332.0,866.0,332.0,844.0,514.0,534.0,512.0,0.0880563687912881,0.0840537737387966,0.1769414006267252,0.173748915454948,12.0,0.0040025950524914,0.0031924851717771,0.0017281185287434,0.0011370576381198,0.001023362300196,True,True,True,True,0.0196251395834808,0.0205596780712517,0.0097666149506136,0.0099460680040422,True,True,True,True,True,True,True,True,crieria_10_10_10_10_20_20,True
15,540,True,0.978494623655914,True,319.6021,864.081,309.4045,866.5364,320.0,864.0,310.0,866.0,320.0,864.0,544.0,556.0,544.0,0.1019635438973656,0.1018380609480923,0.2177838336113558,0.2154172475508496,-4.0,0.0001254829492732,0.0023665860605062,0.0027082018804864,0.0015052140695514,0.001199858268913,True,True,True,True,0.0265604918873015,0.0265932192274054,0.0124352750871278,0.0125718897222805,True,True,True,True,True,True,True,True,crieria_10_10_10_10_20_20,True
15,541,True,0.9527272727272728,True,337.366,861.631,333.2298,883.1563,338.0,860.0,334.0,882.0,338.0,860.0,522.0,548.0,522.0,0.1525734109689488,0.147338879220777,0.335672749084242,0.3318073820848373,9.0,0.0052345317481717,0.0038653669994047,0.0062978601036755,0.0021707315989282,0.0017429626045963,True,True,True,True,0.0412775729642514,0.0427440478506599,0.0187619046254331,0.0189804701272898,True,True,True,True,True,True,True,True,crieria_10_10_10_10_20_20,True
16,25123,True,0.9947089947089948,True,296.071,673.149,295.62,672.95,298.0,672.0,296.0,672.0,298.0,672.0,374.0,376.0,374.0,0.3465907321823416,0.3196062360242076,0.5093348647493773,0.461874369382046,-1.0,0.0269844961581339,0.0474604953673312,0.0492864359344537,0.0310537973706719,0.0281054332457051,True,True,True,True,0.1422035598705047,0.1542098694554903,0.0967662717507185,0.1067096145655263,True,True,True,True,True,True,True,True,crieria_10_10_10_10_20_20,True
16,25124,True,0.9947089947089948,True,296.857,672.6,295.674,673.654,298.0,672.0,296.0,672.0,298.0,672.0,374.0,376.0,374.0,0.5336708364069837,0.5359472041941497,0.7575300509250996,0.7603012812776802,-1.0,-0.002276367787166,-0.0027712303525805,0.0111803422471171,0.0058916018938803,0.0049020636987975,True,True,True,True,0.0209498842439853,0.0208609022672819,0.0147589422141916,0.0147051471862952,True,True,True,True,True,True,True,True,crieria_10_10_10_10_20_20,True
16,25125,True,0.9947089947089948,True,296.9856,672.411,296.209,674.385,298.0,672.0,298.0,674.0,298.0,672.0,374.0,376.0,374.0,0.6550053598220957,0.670621785107307,1.0228549396039606,1.0223853014405002,1.0,-0.0156164252852112,0.0004696381634603,0.0330680756553201,0.0184991485845115,0.0175730719861785,True,True,True,True,0.0504851985704386,0.0493095756649612,0.0323291938817089,0.032344044470053,True,True,True,True,True,True,True,True,crieria_10_10_10_10_20_20,True
16,25126,True,0.9946808510638298,True,296.857,671.951,296.198,673.833,298.0,670.0,298.0,672.0,298.0,670.0,372.0,374.0,372.0,0.6414863691837126,0.6614221567827023,0.9586924524937088,0.9821445319233304,1.0,-0.0199357875989897,-0.0234520794296216,0.0469939318529433,0.0245469771853993,0.0216320768145513,True,True,True,True,0.0732578806198841,0.0710498300836061,0.0490187773260389,0.0478482853851614,True,True,True,True,True,True,True,True,crieria_10_10_10_10_20_20,True
16,25127,True,1.0,True,296.616,673.094,296.255,672.992,298.0,672.0,298.0,672.0,298.0,672.0,374.0,374.0,374.0,0.4681478723685896,0.4691012749734405,0.6452031140631039,0.6380735126324009,0.0,-0.0009534026048509,0.007129601430703,0.0088256542164484,0.0041134736136003,0.0032654664111913,True,True,True,True,0.0188522788148008,0.018813963396173,0.0136788772776835,0.0138317200788319,True,True,True,True,True,True,True,True,crieria_10_10_10_10_20_20,True
16,25129,True,0.9894179894179894,True,296.649,671.844,295.816,672.327,298.0,670.0,296.0,672.0,298.0,670.0,372.0,376.0,372.0,0.5867323609626529,0.5831827300168743,0.8983519200609755,0.8794189010364664,0.0,0.0035496309457786,0.0189330190245091,0.0192012997418958,0.0096883236811174,0.0078428462545198,True,True,True,True,0.0327258235942402,0.0329250143284255,0.0213739174071032,0.0218340767059538,True,True,True,True,True,True,True,True,crieria_10_10_10_10_20_20,True
16,25137,True,1.0,True,297.309,673.094,296.35,673.415,298.0,672.0,298.0,672.0,298.0,672.0,374.0,374.0,374.0,0.677801056645722,0.6752453790007272,0.9753098817249783,0.9631227528497696,0.0,0.0025556776449947,0.0121871288752087,0.0149232281795891,0.0059468644466456,0.0046951459866206,True,True,True,True,0.0220171214448096,0.0221004521373748,0.0153010119749788,0.0154946273830963,True,True,True,True,True,True,True,True,crieria_10_10_10_10_20_20,True
20,3124,True,0.9805194805194806,True,313.683,619.106,311.9237,615.5938,314.0,618.0,312.0,614.0,314.0,614.0,304.0,302.0,300.0,0.2164128719228686,0.2551387946019058,0.3205930471457039,0.3874141256644492,-3.0,-0.0387259226790372,-0.0668210785187453,0.0775595602712184,0.0405669004251523,0.0365907300765564,True,True,True,True,0.3583870015775276,0.3039896789989735,0.241925272434149,0.2001980700579695,True,True,True,True,True,True,False,False,crieria_10_10_10_10_20_20,False
20,3126,True,0.845679012345679,True,308.4544,588.3846,314.069,633.287,310.0,588.0,316.0,632.0,316.0,588.0,278.0,316.0,272.0,0.119937527939023,0.0555945175729783,0.3601572998204668,0.3213402258399753,25.0,0.0643430103660446,0.0388170739804914,0.1418436820561555,0.0548799209304571,0.0301228436593101,True,True,True,True,1.1826463701025238,2.5513969407137838,0.3938381427416926,0.4414127788868627,True,True,True,True,False,True,False,False,crieria_10_10_10_10_20_20,False
23,11292,True,0.9782608695652174,True,303.8056,484.1098,300.5894,483.4768,304.0,484.0,302.0,482.0,304.0,482.0,180.0,180.0,178.0,0.5708992865907894,0.5565119830838968,0.6519338123875585,0.6468583351290315,-2.0,0.0143873035068925,0.005075477258527,0.029313846547081,0.0180240095035185,0.0168743862943577,True,True,True,True,0.0513467913441144,0.0526742414146037,0.0449644518969277,0.0453172587491413,True,True,True,True,True,True,True,True,crieria_10_10_10_10_20_20,True
23,11293,True,0.978021978021978,True,306.1614,484.5191,303.6021,484.4795,308.0,484.0,304.0,484.0,308.0,484.0,176.0,180.0,176.0,0.6360966106366573,0.6246990222550713,0.7127366895128703,0.7024105786808024,-2.0,0.0113975883815859,0.0103261108320679,0.0252655940137537,0.0159966844334379,0.0147941341456733,True,True,True,True,0.0397197431825109,0.040444427017908,0.0354487069145014,0.0359698369879409,True,True,True,True,True,True,True,True,crieria_10_10_10_10_20_20,True
23,11294,True,0.9574468085106383,True,304.0772,485.9701,297.918,485.605,306.0,484.0,298.0,484.0,306.0,484.0,178.0,186.0,178.0,0.049627100846032,0.0482554914278364,0.0706618329479071,0.0703654153354626,-4.0,0.0013716094181956,0.0002964176124444,0.0054816143430134,0.0025656973267372,0.0020748218764158,True,True,True,True,0.1104560663340003,0.1135956588735793,0.077575320570223,0.0779021102466345,True,True,True,True,True,True,True,True,crieria_10_10_10_10_20_20,True
27,542,True,1.0,True,330.6842,942.1586,331.8021,943.824,332.0,942.0,332.0,942.0,332.0,942.0,610.0,610.0,610.0,0.0680672581180789,0.052770229341039,0.1426565254008864,0.112833992452191,0.0,0.0152970287770398,0.0298225329486954,0.0298225329486954,0.0186526835969442,0.0156430849247643,True,True,True,True,0.4381333077492432,0.565139346959454,0.2090513060295672,0.2643045087794051,True,True,True,True,True,True,False,False,crieria_10_10_10_10_20_20,False
27,543,True,0.9902912621359224,True,330.8315,943.3083,329.252,947.6491,332.0,942.0,330.0,946.0,332.0,942.0,610.0,616.0,610.0,0.0867161366459121,0.0849408733876586,0.1816413709133795,0.1850468070313634,1.0,0.0017752632582535,-0.0034054361179839,0.0100741330395974,0.005097776723278,0.004293766405007,True,True,True,True,0.1161736838062002,0.1186017124361374,0.0554616659681651,0.0544409990164812,True,True,True,True,True,True,True,True,crieria_10_10_10_10_20_20,True
27,544,True,0.9967637540453076,True,328.287,945.5457,329.252,947.6491,330.0,944.0,330.0,946.0,330.0,944.0,614.0,616.0,614.0,0.1655318646510888,0.1681985876214936,0.3444652494322981,0.3539408024164091,1.0,-0.0026667229704047,-0.0094755529841109,0.0109379877275491,0.0049248783681891,0.003988992566657,True,True,True,True,0.0660778379474212,0.0650301996123978,0.0317535302779472,0.0309034382384674,True,True,True,True,True,True,True,True,crieria_10_10_10_10_20_20,True
27,545,True,0.9935064935064936,True,330.6332,942.8993,331.8021,946.374,332.0,942.0,332.0,946.0,332.0,942.0,610.0,614.0,610.0,0.3889566969466423,0.385972274801619,0.7920951345590823,0.7853111340537557,2.0,0.0029844221450233,0.0067840005053265,0.0115593901796063,0.0053611087337445,0.0044380504760541,True,True,True,True,0.0297189642712132,0.0299487578105128,0.0145934366659642,0.0147195037461612,True,True,True,True,True,True,True,True,crieria_10_10_10_10_20_20,True
27,546,True,1.0,True,329.4856,942.4158,329.252,943.824,330.0,942.0,330.0,942.0,330.0,942.0,612.0,612.0,612.0,0.6209699393374495,0.6225392494907582,1.2558381425491822,1.2723595450668534,0.0,-0.0015693101533087,-0.0165214025176712,0.0186291009318974,0.0080816180013212,0.0065743016017714,True,True,True,True,0.0300000044314124,0.0299243797835014,0.014833998347974,0.0146413810499755,True,True,True,True,True,True,True,True,crieria_10_10_10_10_20_20,True
29,25066,True,0.9696969696969696,True,423.5163,1003.904,408.6957,998.419,424.0,1002.0,410.0,998.0,424.0,998.0,578.0,588.0,574.0,0.0266822376611394,0.0240216738094707,0.0707442710787832,0.0642085487295958,-9.0,0.0026605638516686,0.0065357223491873,0.0057581855862514,0.0023497957027155,0.0018788760762628,True,True,True,True,0.2158059477386994,0.2397079250980917,0.0813943729781157,0.0896794227588151,True,True,True,True,True,True,False,True,crieria_10_10_10_10_20_20,False
29,25067,True,0.9632107023411371,True,424.3891,1004.459,407.1146,1000.0,426.0,1004.0,408.0,1000.0,426.0,1000.0,578.0,592.0,574.0,0.0473272406888832,0.0418782194200689,0.07981651,0.0718098787681203,-11.0,0.0054490212688142,0.0080066312318796,0.0141889214303482,0.0057546916365361,0.0047930799523219,True,True,True,True,0.2998045359040145,0.3388138661776195,0.1777692538842931,0.1975901042273772,True,True,True,True,True,True,False,True,crieria_10_10_10_10_20_20,False
29,25068,True,0.9493243243243245,True,435.6871,996.1441,405.5336,996.8379,436.0,996.0,406.0,996.0,436.0,996.0,560.0,590.0,560.0,0.0378933817586972,0.034581470093279,0.0666055,0.0647704459547068,-15.0,0.0033119116654181,0.0018350540452931,0.008605327488358,0.004155614344898,0.0037075130127835,True,True,True,True,0.2270931515998288,0.2488421534754378,0.129198451904993,0.1328588581029009,True,True,True,True,True,True,False,True,crieria_10_10_10_10_20_20,False
29,25069,True,0.9503311258278144,True,426.8804,1006.109,403.9526,1000.0,428.0,1006.0,404.0,1000.0,428.0,1000.0,578.0,596.0,572.0,0.0425380172506424,0.0374854402992195,0.0671208140553874,0.0700564158627467,-15.0,0.0050525769514229,-0.0029356018073592,0.0104270160358714,0.0058919053969552,0.0054626121940706,True,True,True,True,0.2451222861289791,0.2781617596762903,0.1553469841302453,0.1488374177791202,True,True,True,True,True,True,False,True,crieria_10_10_10_10_20_20,False
29,25071,True,0.9461279461279462,True,424.881,986.7185,407.1146,1000.0,426.0,986.0,408.0,1000.0,426.0,986.0,560.0,592.0,560.0,0.0552521923434545,0.033326832440541,0.0808745010601383,0.0577789254403186,-2.0,0.0219253599029135,0.0230955756198197,0.035024396402696,0.0244981509012281,0.0235831100947272,True,True,True,True,0.6339005733017792,1.0509368529152483,0.433070942553968,0.6061794354218936,True,True,True,True,True,True,False,False,crieria_10_10_10_10_20_20,False
32,10165,True,0.996845425867508,True,329.0,963.0,331.0,963.0,330.0,962.0,332.0,962.0,332.0,962.0,632.0,630.0,630.0,0.1727004440021863,1.7031839384748444e-07,0.3812620689655172,3.754786675917355e-07,1.0,0.1727002736837924,0.3812616934868496,0.3812616934868496,0.2035220689869379,0.172700273229641,True,True,True,True,2.2076474423078087,2238523.3025873844,0.9999990151690972,1015401.7428798436,True,True,False,False,False,False,False,False,crieria_10_10_10_10_20_20,False
32,10172,True,0.9626168224299064,True,332.66799733865605,950.5703422053232,320.0,961.0,334.0,950.0,320.0,960.0,334.0,950.0,616.0,640.0,616.0,0.1767742048254309,0.1591965764438639,0.3862815533980582,0.4121399886168599,-2.0,0.0175776283815669,-0.0258584352188016,0.0451571655222628,0.0276068386722224,0.0234405422286474,True,True,True,True,0.2554511025342001,0.2836566371650976,0.1169022054639222,0.1095675420233064,True,True,True,True,True,True,False,True,crieria_10_10_10_10_20_20,False
32,10176,True,0.9758308157099698,True,303.0,956.0229445506692,312.0,965.0,304.0,956.0,312.0,964.0,312.0,956.0,652.0,652.0,644.0,0.0688358441421491,0.0776560952817704,0.162703125,0.1861773368933697,8.0,-0.0088202511396213,-0.0234742118933697,0.0258492118933697,0.0116980196891686,0.01083831013095,True,True,True,True,0.3755196470023661,0.3328677781129403,0.1588734813382946,0.1388418822865345,True,True,True,True,True,True,False,True,crieria_10_10_10_10_20_20,False
32,10188,True,0.9697885196374624,True,303.0,964.0,307.0,948.0,304.0,964.0,308.0,948.0,308.0,948.0,660.0,640.0,640.0,0.1149064878796691,0.1152261731639535,0.257,0.2441791151987445,-6.0,-0.0003196852842844,0.0128208848012554,0.0188322158208238,0.0058364804658258,0.0043046171339095,True,True,True,True,0.1638916667659799,0.1634369631804726,0.0732771043611822,0.0771245968579079,True,True,True,True,True,True,True,True,crieria_10_10_10_10_20_20,True
32,10192,True,0.9578313253012049,True,312.0,961.5384615384615,325.0,974.0,312.0,960.0,326.0,974.0,326.0,960.0,648.0,648.0,634.0,0.2191789733950959,0.1939785801089563,0.481,0.4475291547075963,14.0,0.0252003932861396,0.0334708452924036,0.0461620047079589,0.0227482626146081,0.0169668521308055,True,True,True,True,0.2106132901021782,0.2379747530991828,0.0959709037587504,0.1031485976329742,True,True,True,True,True,True,False,True,crieria_10_10_10_10_20_20,False
32,10212,True,0.987987987987988,True,303.0,968.0,303.0,961.0,304.0,968.0,304.0,960.0,304.0,960.0,664.0,656.0,656.0,0.0627523100303951,0.073762124858867,0.1486382978723404,0.1707144418095302,-4.0,-0.0110098148284719,-0.0220761439371897,0.022910223909113,0.0112941378094669,0.0098428893111857,True,True,True,True,0.3650897297329148,0.3105960403519878,0.1541340572184816,0.1342020257118872,True,True,True,True,True,True,False,True,crieria_10_10_10_10_20_20,False
32,10220,True,0.9694189602446484,True,329.0,963.0,327.0,980.0,330.0,962.0,328.0,980.0,330.0,962.0,632.0,652.0,632.0,0.2622140469005421,2.525436419087931e-07,0.558,5.44896546051038e-07,8.0,0.2622137943569002,0.557999455103454,0.5395129686169674,0.295204263080628,0.2547408349546819,True,True,True,True,2.0575288585573177,2136315.7850230657,0.966869119385246,990120.0008091696,True,True,False,False,False,False,False,False,crieria_10_10_10_10_20_20,False
32,10221,True,0.9748427672955976,True,329.0,965.0,339.0,958.0,330.0,964.0,340.0,958.0,340.0,958.0,634.0,618.0,618.0,0.2041864240504695,1.9920367835824606e-07,0.442,4.3185195000300646e-07,2.0,0.2041862248467912,0.44199956814805,0.4419995729710119,0.2371159088739965,0.2041862244430587,True,True,True,True,2.164686389050827,2218832.38609743,0.9999990338710676,1023497.9209146444,True,True,False,False,False,False,False,False,crieria_10_10_10_10_20_20,False
33,10249,True,0.956,True,294.2432,772.4404,290.8136,790.8136,296.0,772.0,292.0,790.0,296.0,772.0,476.0,498.0,476.0,0.2487572477760689,0.2350015145198152,0.3546004169985606,0.3397738897070591,7.0,0.0137557332562536,0.0148265272915015,0.0320215565185822,0.0134805612389053,0.0111787195555214,True,True,True,True,0.128726124785751,0.1362610644617023,0.0903032116815368,0.0942437235132754,True,True,True,True,True,True,True,True,crieria_10_10_10_10_20_20,True
