sample_id,YEAR,URL,DOI,figure_number_of_targetZT,label_of_targetZT_in_figure,figure_label_description,GROUP,BASEMAT,Composition_by_element,Composition_detailed,"mat_dimension(bulk, film, 1D, 2D)",SINTERING
1,2011.0,https://doi.org/10.1038/NCHEM.955,10.1038/NCHEM.955,Figure 4,2% SrTe,PbTe-1%SrTe-2%SrTe,PbTe,PbTe,PbTe SrTe NaTe,(PbTe)0.97(SrTe)0.02(Na2Te)0.01,Bulk,na
4,2015.0,https://doi.org/10.1038/ncomms9144,10.1038/ncomms9144,Figure 2(a),x = 0.12,FeNb1-x Hfx Sb,HH,HH,FeNbHfSb,FeNb0.88Hf0.12Sb,Bulk,SPS
6,2015.0,https://doi.org/10.1002/adma.201501030,10.1002/adma.201501030,Figure 1(b),Cu2S0.52Te0.48,,Cu2Q,M2Q,CuSTe,Cu2S0.52Te0.48,Bulk,SPS
7,2008.0,https://doi.org/10.1126/science.1159725,10.1126/science.1159725,Figure 1(b),2% Tl,Tl0.02Pb0.98Te,PbTe,PbTe,TlPbTe ,Tl0.02Pb0.98Te ,Bulk,HP
9,2014.0,https://doi.org/10.1038/am.2013.86,10.1038/am.2013.86,Figure 8(a),HD-Sb1.7,,Bi2Te3,Bi2Te3,BiSbTe,Bi0.3Sb1.7Te3,Bulk,HP
10,2016.0,https://doi.org/10.1039/c5ee02979a,10.1039/c5ee02979a,Figure 7,p-type PbTe,PbTe-2%MgTe-4%Na (p-type PbTe–2% MgTe doped with 4% Na),PbTe,PbTe,PbTe MgTe Na,(PbTe)0.96(MgTe)0.02Na0.04,Bulk,SPS
11,2016.0,https://doi.org/10.1039/c5ee02979a,10.1039/c5ee02979a,Figure 7,n-type PbTe,n-type PbTe doped with 0.2% PbI2,PbTe,PbTe,PbTe PbI,(PbTe)0.998(PbI2)0.002,Bulk,SPS
12,2015.0,https://doi.org/10.1126/science.aaa4166,10.1126/science.aaa4166,Figure 1C,Te-MS,"Te-MS,red",Bi2Te3,Bi2Te3,BiSbTe,Bi0.5Sb1.5Te3 + 25wt% Te,Bulk,SPS
13,2016.0,https://doi.org/10.1038/ncomms10287,10.1038/ncomms10287,Figure 1,2.65x10^19,2.65x10^19,Element,Te,Te As,Te + As-doping,Bulk,HP
14,2011.0,https://doi.org/10.1002/aenm.201100149,10.1002/aenm.201100149,Figure 5(f),re-pressed(perp press),re-pressed Cu0.01Bi2Te2.7Se0.3  (triangle),Bi2Te3,Bi2Te3,CuBiTeSe,Cu0.01Bi2Te2.7Se0.3,Bulk,SPS
15,2012.0,https://doi.org/10.1103/PhysRevLett.108.166601,10.1103/PhysRevLett.108.166601,Figure 1(d),x=0.7,"x=0.7, actual composition Mg2:15Si0:28Sn0:71Sb0:006 (see Table 1)",Silicide,Mg2Si,MgSiSb,Mg2Si0.3Sb0.7,Bulk,SPS
16,2016.0,https://doi.org/10.1038/am.2016.67,10.1038/am.2016.67,Figure 8(d),TP460-3,TP 460-3,Bi2Te3,Bi2Te3,BiTeSe,Bi2Te2.2Se0.8,Bulk,SPS
17,2011.0,https://doi.org/10.1038/nature09996,10.1038/nature09996,Figure 2,x = 0.15,"x = 0.15, p-PbTe(1-x)Se(x) materials doped with 2 atom % Na",PbTe,PbTe,PbTeSe,PbTe0.85Se0.15,Bulk,HP
18,2011.0,https://doi.org/10.1039/c0ee00456a,10.1039/c0ee00456a,Figure 4,9.0x10^19 ,9.0x10^19 (open square),PbTe,PbTe,PbTeNa,NaxPb1-xTe (0.5% < x < 2%),Bulk,HP
19,2008.0,https://doi.org/10.1126/science.1156446,10.1126/science.1156446,Figure 2E,Nano,Nano,Bi2Te3,Bi2Te3,BiSbTe,BiSbTe alloy,Bulk,HP
23,2014.0,https://doi.org/10.1073/pnas.1403601111,10.1073/pnas.1403601111,Figure 2,QH,"QH (filled square, black)",PbTe,PbTe,PbNaTe,Pb0.98Na0.02Te,Bulk,HP
25,2012.0,https://doi.org/10.1021/ja306527n,10.1021/ja306527n,Figure 4(f),Pb0.975Na0.025S+3%CdS,"Pb0.975Na0.025S+3%CdS (green, triangle)",Sulfide,PbS,PbNaS CdS,Pb0.975Na0.025S+3mol% CdS,Bulk,SPS
28,2015.0,https://doi.org/10.1126/science.aad3749,10.1126/science.aad3749,Figure 1(a),Hole doped SnSe (b-axis),hole doped b axis,Selenide,SnSe,SnNaSe,Sn0.985Na0.015Se,Bulk,na
31,2007.0,https://doi.org/10.1016/j.jssc.2006.12.010,10.1016/j.jssc.2006.12.010,Figure 5,x=0.4,"x = 0.4, (Bi2Te3)0.9-(Bi2-xAgxSe3)0.1",Bi2Te3,Bi2Te3,BiAgTeSe,Bi1.96Ag0.04Te2.7Se0.3,Bulk,SPS
32,2008.0,https://doi.org/10.1016/j.jallcom.2007.05.063,10.1016/j.jallcom.2007.05.063,Figure 7,x=0.1,"x = 0.1, (Al2Te3)x-(Bi0.5Sb1.5Te3)1-x",Bi2Te3,Bi2Te3,BiSbTeAl,Al0.2Bi0.45Sb1.3Te3,Bulk,SPS
33,2015.0,https://doi.org/10.3938/jkps.66.1726,10.3938/jkps.66.1726,Figure 7,MA-HP673K,MA-HP673K (green closed triangle),Bi2Te3,Bi2Te3,BiTeSe,Bi2Te2.7Se0.3,Bulk,
34,2010.0,https://doi.org/10.1063/1.3427427,10.1063/1.3427427,Figure 2(f),40wt% NC,40wt% NC (green closed diamond),Bi2Te3,Bi2Te3,BiSbTe,Bi0.4Sb1.6Te3,Bulk,HP
35,2013.0,https://doi.org/10.1039/c3ra23197f,10.1039/c3ra23197f,Figure 7,Inorganic ligand capped Bi2Te3,Inorganic ligand capped Bi2Te3 (open black triangle),Bi2Te3,Bi2Te3,BiTe,inorganic ligand capped Bi2Te3,Bulk,SPS
36,2014.0,https://api.semanticscholar.org/CorpusID:137891673,https://api.semanticscholar.org/CorpusID:137891673,Figure 6(b),ZT,"BiSbTe after annealing process, ZT, filled blue square",Bi2Te3,Bi2Te3,BiSbTe,micro-grain and nano-grain Bi0.5Sb1.5Te3,Bulk,HP
37,2014.0,https://doi.org/10.1002/aenm.201401391,10.1002/aenm.201401391,Figure 4(d),MS10,"MS10, matrix: Bi10.1Sb29.5Te 60.3",Bi2Te3,Bi2Te3,BiSbTe,Bi0.5Sb1.5Te3,Bulk,PAS
38,2015.0,https://doi.org/10.1002/aenm.201500411,10.1002/aenm.201500411,Figure 12(a),ZM-HD2,"ZM-HD2, inplane",Bi2Te3,Bi2Te3,BiTeSe,Bi2Te2.79Se0.21,Bulk,HP
39,2013.0,https://doi.org/10.1007/s11664-012-2280-6,10.1007/s11664-012-2280-6,Figure 5,Mn,nanometal-decorated Bi0.5Sb1.5Te3 nanocomposites (for metal loading of 0.2 wt.%). Solution-based,Bi2Te3,Bi2Te3,BiSbTe,Bi0.5Sb1.5Te3 + 0.2wt% Mn-decorated,Bulk,SPS
40,2013.0,https://doi.org/10.1039/c3ta12623d,10.1039/c3ta12623d,Figure 5(e),Ultrasonicated(EX/US),"Ultrasonicated(EX/US), green triangle",Bi2Te3,Bi2Te3,BiTeSe,Bi2Te2.7Se0.3,Bulk,SPS
41,2015.0,https://doi.org/10.1002/adfm.201402663,10.1002/adfm.201402663,Figure 8,x=2.0,"x = 2.0vol% Bi2Te3 bulk (star shape, deep blue)",Bi2Te3,Bi2Te3,BiTeAg,Bi2Te3 + 2.0vol% Ag NPs,Bulk,SPS
42,2005.0,https://doi.org/10.1063/1.1863440,10.1063/1.1863440,Figure 4(d),NC2,NC2,Bi2Te3,Bi2Te3,BiTe,Bi2Te3(ZM) 85wt% + Bi2Te3 nanotube 15wt%,Bulk,HP
43,2010.0,https://doi.org/10.3365/eml.2010.12.201,10.3365/eml.2010.12.201,Figure 10,0.05 wt.%,0.05 wt.% Ag-doped Bi0.5Sb1.5Te3,Bi2Te3,Bi2Te3,BiSbTeAg,Bi0.5Sb1.5Te3 + 0.05wt% Ag,Bulk,HP
44,2012.0,https://doi.org/10.1007/s11664-012-2356-3,10.1007/s11664-012-2356-3,Figure 5(b),x=0.01,"Bi0.4Sb1.6-xInxTe3 x=0.01, purple, half upper filled circlue",Bi2Te3,Bi2Te3,BiSbInTe, Bi0.4Sb1.59In0.01Te3,Bulk,SPS
45,2013.0,https://doi.org/10.1039/c3ce40643a,10.1039/c3ce40643a,Figure 7(d),Bi2Te3/MnTe2,Bi2Te3/MnTe2,Bi2Te3,Bi2Te3,BiTeMnTe,nanostructured Bi2Te3/MnTe2 composite,Bulk,SPS
46,2010.0,https://doi.org/10.1021/nl101156v,10.1021/nl101156v,Figure 4(e) ,perp press direction,press perpendicular,Bi2Te3,Bi2Te3,BiTeSe,Bi2Te2.7Se0.3,Bulk,HP
47,2013.0,https://doi.org/10.1007/s11664-013-2822-6,10.1007/s11664-013-2822-6,Figure 6,Bi2Te2.85Se0.15:I0.005,Bi2Te2.85Se0.15:I0.005,Bi2Te3,Bi2Te3,BiTeSeI,Bi2Te2.85Se0.15 : I 0.005,Bulk,HP
48,2014.0,https://doi.org/10.3938/jkps.64.1416,10.3938/jkps.64.1416,Figure 8,Bi2Te2.4Se0.6,Bi2Te2.4Se0.6,Bi2Te3,Bi2Te3,BiTeSe,Bi2Te2.4Se0.6,Bulk,HP
49,2014.0,https://doi.org/10.3938/jkps.65.696,10.3938/jkps.65.696,Figure 7,m=0.0075,"Bi2Te2.7Se0.3:Im, m=0.0075",Bi2Te3,Bi2Te3,BiTeSeI,Bi2Te2.7Se0.3 : I 0.0075,Bulk,HP
51,2014.0,https://doi.org/10.3938/jkps.64.1692,10.3938/jkps.64.1692,Figure 7,m=0.005,Bi2Te2.85Se0.15I0.005 (open circlue),Bi2Te3,Bi2Te3,BiTeSeI,Bi2Te2.85Se0.15 : I0.005,Bulk,HP
52,2011.0,https://doi.org/10.1002/aenm.201100338,10.1002/aenm.201100338,Figure 5,5% Bi/Bi2Te3-II,5% Bi/Bi2Te3-II,Bi2Te3,Bi2Te3,Bi/BiTe,Bi2Te3 + 5.0vol% Bi NPs,Bulk,HP
53,2012.0,https://doi.org/10.1063/1.4749806,10.1063/1.4749806,Figure 4d,Cu0.01Bi2Te2.7Se0.3,Cu0.01Bi2Te2.7Se0.3,Bi2Te3,Bi2Te3,CuBiTeSe,Cu0.01Bi2Te2.7Se0.3,Bulk,HP
54,2013.0,https://doi.org/10.1002/adma.201203764,10.1002/adma.201203764,Figure 3F,BT85BS15,BT85BS15,Bi2Te3,Bi2Te3,BiTeSe,(Bi2Te3)85(Bi2Se3)15 nanoflakes,Bulk,SPS
55,2015.0,https://doi.org/10.3390/ma8030959,10.3390/ma8030959,Figure 4(b),1.0 at.% Fe-BST,1.0 at.% Fe-BST,Bi2Te3,Bi2Te3,BiSeTeFe,Bi0.48Sb1.52Te3 + 1 at% Fe,Bulk,SPS
56,2015.0,https://doi.org/10.1063/1.4916947,10.1063/1.4916947,Figure 1(d),y = 0.27,"y = 0.27, n-type, Bi2Te3-ySey",Bi2Te3,Bi2Te3,BiTeSe,Bi2Te2.73Se0.27,Bulk,
57,2015.0,https://doi.org/10.1063/1.4916947,10.1063/1.4916947,Figure 1(d),x = 0.6,"x = 0.6, p-type, BixSb2-xTe3",Bi2Te3,Bi2Te3,BiSbTe,Bi0.6Sb1.4Te3,Bulk,
59,2013.0,https://doi.org/10.1038/srep03212,10.1038/srep03212,Figure 2,exf8h-SPS,exf8h-SPS,Bi2Te3,Bi2Te3,BiTeSe,Bi2Te2.7Se0.3,Bulk,SPS
60,2014.0,https://doi.org/10.1039/c4nr00191e,10.1039/c4nr00191e,Figure 4(a),TCHT,"TCHT, heat-treated twin containing",Bi2Te3,Bi2Te3,BiTe,Bi2Te3 nanowires (heat-treated twin-containing NWs),1D,
62,2012.0,https://doi.org/10.1021/nl203389x,10.1021/nl203389x,Figure 5(c),250oC (red circle),250oC (red circle),Bi2Te3,Bi2Te3,BiTe,Bi2Te3,Bulk,SPS
63,2013.0,https://doi.org/10.1016/j.jallcom.2013.03.062,10.1016/j.jallcom.2013.03.062,Figure 12,10hr,10hr,Bi2Te3,Bi2Te3,BiSbTeSe,Bi 0.42Sb1.51Te3.05Se0.02,Bulk,SPS
65,2014.0,https://doi.org/10.1039/c4ta01554a,10.1039/c4ta01554a,Figure 3(f),BiSbTe + 4.0 mol% WSe2 addition,BiSbTe + 4.0 mol% WSe2 addition (typo in label),Bi2Te3,Bi2Te3,BiSbTe Wse,Bi0.48Sb1.52Te3 + 4mol% WSe2,Bulk,
66,2007.0,https://doi.org/10.1063/1.2425007,10.1063/1.2425007,Figure 4(d),SPS-40,SPS-40,Bi2Te3,Bi2Te3,BiTe,Bi2Te3 ingots,Bulk,SPS
67,2013.0,https://doi.org/10.1088/0957-4484/24/28/285702,10.1088/0957-4484/24/28/285702,Figure 11,1%at Cu,"1%at Cu, Bi2Te2.7Se0.3",Bi2Te3,Bi2Te3,BiTeSe Cu,Cu0.01Bi2Te2.7Se0.3,Bulk,
68,2013.0,https://doi.org/10.1002/pssa.201228589,10.1002/pssa.201228589,Figure 8,Ce0.2Bi1.8Se0.3Te2.7,Ce0.2Bi1.8Se0.3Te2.7,Bi2Te3,Bi2Te3,BiTeSeCe,Ce0.2Bi1.8Se0.3Te2.7,Bulk,HP
71,2012.0,https://doi.org/10.1021/nl202935k,10.1021/nl202935k,Figure 3F,Bi2Te3 nanowire bulk pellet,Bi2Te3 nanowire bulk pellet,Bi2Te3,Bi2Te3,BiTe,Bi2Te3 nanowires ,Bulk,SPS
72,2016.0,https://doi.org/10.1002/adfm.201600718,10.1002/adfm.201600718,Figure 4(f),in-plane,"in-plane, Bi14Rh3I9",etc,BiMI,BiRhI,Bi14Rh3I9,Bulk,SPS
73,2012.0,https://doi.org/10.1111/j.1551-2916.2012.05284.x,10.1111/j.1551-2916.2012.05284.x,Figure 4,50 nm,"50nm, In1.92(ZnCe)0.08O3 bulk",Oxide,In2O3,InZnCeO,In1.92(ZnCe)0.08O3,Bulk,SPS
74,2013.0,https://doi.org/10.1016/j.jallcom.2013.03.167,10.1016/j.jallcom.2013.03.167,Figure 6(d),HPHT (black square),BTA nanorods after sintered by HPHT (black square),Bi2Te3,Bi2Te3,BiTe,Bi2Te2.4 nanorods,Bulk,HP
75,2014.0,https://doi.org/10.1063/1.4893236,10.1063/1.4893236,Figure 4,In-10,In-10 (inverse triangle),Bi2Te3,Bi2Te3,GeSbTe,GeIn0.6Sb5.4Te10,Bulk,
78,2010.0,https://doi.org/10.1021/ja910762q,10.1021/ja910762q,Figure 7(b),y=0.055,"y=0.055%, PbTe-1% CdTe-y% PbI2",PbTe,PbTe,PbTe CdTe PbI,(PbTe)98.99945(CdTe)0.01(PbI2)0.00055,Bulk,
83,2013.0,https://doi.org/10.1007/s11664-013-2819-1,10.1007/s11664-013-2819-1,Figure 10,S5,S5,PbTe,PbTe,PbTe In,PbTe +3at% In,Bulk,HP
86,2009.0,https://doi.org/10.1016/j.jssc.2009.07.004,10.1016/j.jssc.2009.07.004,Figure 4,Br(1.0),Br(1.0) (filled circle),PbTe,PbTe,PbTeBr,PbTe(1-x)Brx,Bulk,
